strategy,sl,tp,min_liquidity_m,max_positions,threshold,dynamic_sizing,return_pct,win_rate,max_drawdown,sharpe,total_trades,score
T3_top5,3,6,0.0,1,0.55,True,1043.06,72.34,-12.4,8.61,47,748.0452686567163
T3_top5,3,6,0.0,1,0.0,False,1043.06,72.34,-12.4,8.61,47,748.0452686567163
T3_top5,3,6,0.0,1,0.0,True,1043.06,72.34,-12.4,8.61,47,748.0452686567163
T1_blended_top5,3,6,0.0,5,0.6,False,619.8,61.59,-9.18,11.12,315,737.9151277013751
T3_top5,3,6,0.0,5,0.0,False,553.77,62.75,-8.49,11.61,298,735.8313698630136
T1_blended_top5,0,0,0.0,5,0.6,True,2014.95,78.81,-25.49,8.66,118,734.7835787089468
T3_top5,0,0,0.0,3,0.58,False,820.85,79.45,-10.53,8.9,73,704.8061578490893
T1_blended_top5,5,10,0.0,5,0.55,False,729.76,61.25,-12.28,11.67,400,696.2393975903615
T1_blended_top5,7,14,0.0,3,0.55,False,1063.57,65.82,-16.32,10.28,237,692.671454965358
T1_blended_top5,7,14,0.0,3,0.0,False,1063.57,65.82,-16.32,10.28,237,692.671454965358
T3_top5,0,0,0.0,3,0.0,False,921.73,80.82,-12.65,9.13,73,684.0384542124543
T1_blended_top5,5,10,0.0,5,0.0,False,721.45,61.1,-12.28,11.58,401,683.4217620481928
T1_blended_top5,7,14,0.0,5,0.58,True,1829.98,73.11,-25.19,8.67,119,675.6741733486062
T1_blended_top5,5,10,0.0,5,0.58,False,674.61,61.72,-12.27,11.4,384,630.3816126601357
T1_blended_top5,7,14,0.0,3,0.58,False,962.81,65.67,-15.91,9.93,233,622.3248551153164
T1_blended_top5,7,14,0.0,5,0.6,True,1658.24,72.88,-25.19,8.44,118,597.7008629247804
T3_top5,7,14,0.0,5,0.0,False,662.57,60.78,-12.39,11.06,204,596.7583420463033
